path,classification,reason,recommended_action
Results/gwtc1_phasemarg/plots/H0_full_sky_vs_narrow.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_prior_comparison.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_prior_comparison.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_prior_sensitivity.pdf,needed-paper,cited paper figure,include
Results/gwtc1_phasemarg/plots/H0_prior_sensitivity.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_prior_vs_posterior.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_prior_vs_posterior.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_reweight_comparison.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_reweight_comparison.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_reweighted_vs_sampled_flatZ.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_reweighted_vs_sampled_flatZ.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_summary_all_methods.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_summary_all_methods.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_synoptic.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_synoptic.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_unheterodyned_vs_gwtc.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_unheterodyned_vs_gwtc.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/H0_waveform_comparison.pdf,needed-paper,cited paper figure,include
Results/gwtc1_phasemarg/plots/H0_waveform_comparison.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/REVIEW_bundle.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/bimodality.pdf,needed-paper,cited paper figure,include
Results/gwtc1_phasemarg/plots/bimodality.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/bin_comparison_fig2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/bin_comparison_fig3b.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/bin_comparison_fig4.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW150914.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW150914.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW150914_waveform_comparison.pdf,needed-paper,cited paper figure,include
Results/gwtc1_phasemarg/plots/corner_GW150914_waveform_comparison.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW170817_XAS_vs_LVK.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW170817_XAS_vs_LVK.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW170817_precession_test.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW170817_precession_test.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_GW170817_waveform_comparison.pdf,needed-paper,cited paper figure,include
Results/gwtc1_phasemarg/plots/corner_GW170817_waveform_comparison.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_IMRPhenomD_hetero_vs_unhetero.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_IMRPhenomD_hetero_vs_unhetero.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_TaylorF2_hetero_vs_unhetero.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_TaylorF2_hetero_vs_unhetero.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_combined_waveforms.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_combined_waveforms.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_full_sky_vs_narrow.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_full_sky_vs_narrow.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_h0_prior_IMRPhenomD.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_h0_prior_IMRPhenomD.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_h0_prior_TaylorF2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_h0_prior_TaylorF2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_reweighted_vs_sampled_flatZ_IMRPhenomD.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_reweighted_vs_sampled_flatZ_IMRPhenomD.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_reweighted_vs_sampled_flatZ_TaylorF2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_reweighted_vs_sampled_flatZ_TaylorF2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_reweighted_vs_sampled_flatZ_XAS.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_reweighted_vs_sampled_flatZ_XAS.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_sky_localization.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_sky_localization.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_speedup_hetero_vs_unhetero.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_speedup_hetero_vs_unhetero.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_unheterodyned_vs_gwtc.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/corner_unheterodyned_vs_gwtc.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/dL_posterior.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/dL_posterior.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/dL_reweight_comparison_IMRPhenomD_NRTidalv2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/dL_reweight_comparison_IMRPhenomD_NRTidalv2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/dL_reweight_comparison_TaylorF2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/dL_reweight_comparison_TaylorF2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/ess_comparison_hetero_vs_unhetero.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/ess_comparison_hetero_vs_unhetero.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/gpu_vs_cpu_projection.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/gpu_vs_cpu_projection.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/phase_marginalization_schematic.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/phase_marginalization_schematic.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_functions_IMRPhenomD_NRTidalv2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_functions_IMRPhenomD_NRTidalv2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_functions_TaylorF2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_functions_TaylorF2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_H0_IMRPhenomD_NRTidalv2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_H0_IMRPhenomD_NRTidalv2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_H0_TaylorF2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_H0_TaylorF2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_annotated_IMRPhenomD_NRTidalv2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_annotated_IMRPhenomD_NRTidalv2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_annotated_TaylorF2.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/prior_sensitivity_annotated_TaylorF2.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/q_overlay_s16.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/q_overlay_s16.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/scaling_study.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/scaling_study.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/scaling_study_full.pdf,needed-paper,cited paper figure,include
Results/gwtc1_phasemarg/plots/scaling_study_full.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/sky_prior_runtime.pdf,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/plots/sky_prior_runtime.png,dead,exploratory figure,exclude
Results/gwtc1_phasemarg/prior_sensitivity.csv,needed-paper,prior sensitivity analysis,include
Results/gwtc1_phasemarg/prior_sensitivity_full.json,needed-paper,prior sensitivity analysis,include
Results/gwtc1_phasemarg/prior_sensitivity_pdfs.csv,needed-paper,prior sensitivity analysis,include
Results/gwtc1_phasemarg/summary_stats.csv,needed-paper,summary statistics for results,include
Results/gwtc1_phasemarg/summary_stats_full.csv,needed-paper,summary statistics for results,include
Results/gwtc1_phasemarg/table1_gw150914.tex,needed-paper,cited via \input in main.tex,include
Results/gwtc1_phasemarg/table4_cross_waveform.tex,needed-paper,waveform comparison table,include
Results/gwtc1_phasemarg/table5_prior_sensitivity.tex,needed-paper,cited via \input in main.tex,include
Results/gwtc1_phasemarg/table6_bimodality.tex,needed-paper,cited via \input in main.tex,include
Results/gwtc1_phasemarg/texput.log,dead,latex artifact,exclude
Results/gwtc1_phasemarg/waveform_systematics.csv,needed-paper,waveform cross-check data,include
Results/test_suite/20260509_074425_s19_fixedsky_IMRPhenomD_NRTidalv2.log,dead,cache/artifact,exclude
Results/test_suite/20260509_074425_s19_fixedsky_IMRPhenomXAS_NRTidalv3.log,dead,cache/artifact,exclude
Results/test_suite/REVIEW.md/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_baseline.csv,dead,misc file,exclude
Results/test_suite/REVIEW.md/config.json,dead,misc file,exclude
Results/test_suite/REVIEW.md/finish.json,dead,misc file,exclude
Results/test_suite/REVIEW.md/sampler.log,dead,cache/artifact,exclude
Results/test_suite/REVIEW.md/samples.csv,dead,misc file,exclude
Results/test_suite/bimodality_imrx_summary.csv,needed-paper,bimodality analysis data,include
Results/test_suite/bimodality_summary.csv,needed-paper,bimodality analysis data,include
Results/test_suite/bimodality_waveform_check.csv,needed-paper,bimodality analysis data,include
Results/test_suite/gw150914_waveform_comparison.csv,needed-paper,waveform comparison data,include
Results/test_suite/gw170817_waveform_comparison.csv,needed-paper,waveform comparison data,include
Results/test_suite/het_bins_sweep_summary.csv,needed-verification,heterodyne bins sweep analysis,archive-locally
Results/test_suite/het_bins_sweep_wasserstein.csv,needed-verification,heterodyne bins sweep analysis,archive-locally
Results/test_suite/num_delete_sweep_summary.csv,needed-verification,num_delete parameter sweep,archive-locally
Results/test_suite/psd_sensitivity_summary.csv,needed-verification,PSD sensitivity analysis,archive-locally
Results/test_suite/s04__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive02500__seed0000/config.json,dead,s4 uncited,exclude
Results/test_suite/s04__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive02500__seed0000/finish.json,dead,s4 uncited,exclude
Results/test_suite/s04__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive02500__seed0000/sampler.log,dead,uncited s4 run,exclude
Results/test_suite/s04__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive02500__seed0000/samples 2.csv,dead,s4 uncited,exclude
Results/test_suite/s04__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive02500__seed0000/samples.csv,dead,sample data for uncited s4 run,exclude
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__baseline__refOptimize__seed0000/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-optimize_baseline.csv,needed-verification,s5 diagnostic data,archive-locally
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__baseline__refOptimize__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__baseline__refOptimize__seed0000/sampler.log,needed-paper,evidence log for cited s5 run,include
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__baseline__refOptimize__seed0000/samples.csv,needed-paper,sample data for cited s5 run,include
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive00500__seed0000/PhaseMarg_Unheterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1.csv,needed-verification,s5 diagnostic data,archive-locally
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive00500__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive00500__seed0000/finish.json,dead,cache/artifact,exclude
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive00500__seed0000/sampler.log,needed-paper,evidence log for cited s5 run,include
Results/test_suite/s05__gw170817__imrphenomd_nrtidalv2__unheterodyned__nlive00500__seed0000/samples.csv,needed-paper,sample data for cited s5 run,include
Results/test_suite/s05__gw170817__taylorf2__baseline__psdBilby__seed0000/PhaseMarg_Heterodyned_TaylorF2_local_psd-bilby_ref-gwtc1_baseline.csv,needed-verification,s5 diagnostic data,archive-locally
Results/test_suite/s05__gw170817__taylorf2__baseline__psdBilby__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s05__gw170817__taylorf2__baseline__psdBilby__seed0000/sampler.log,needed-paper,evidence log for cited s5 run,include
Results/test_suite/s05__gw170817__taylorf2__baseline__psdBilby__seed0000/samples.csv,needed-paper,sample data for cited s5 run,include
Results/test_suite/s05__gw170817__taylorf2__baseline__psdKazewong__seed0000/PhaseMarg_Heterodyned_TaylorF2_local_psd-kazewong_ref-gwtc1_baseline.csv,needed-verification,s5 diagnostic data,archive-locally
Results/test_suite/s05__gw170817__taylorf2__baseline__psdKazewong__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s05__gw170817__taylorf2__baseline__psdKazewong__seed0000/sampler.log,needed-paper,evidence log for cited s5 run,include
Results/test_suite/s05__gw170817__taylorf2__baseline__psdKazewong__seed0000/samples.csv,needed-paper,sample data for cited s5 run,include
Results/test_suite/s06__gw150914__imrphenomxphm__lvkbounds__seed0000/GW15_PhaseMarg_Heterodyned_IMRPhenomXPHM_local_psd-gwtc2p1_ref-gwtc1.csv,needed-verification,s6 diagnostic data,archive-locally
Results/test_suite/s06__gw150914__imrphenomxphm__lvkbounds__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s06__gw150914__imrphenomxphm__lvkbounds__seed0000/finish.json,dead,cache/artifact,exclude
Results/test_suite/s06__gw150914__imrphenomxphm__lvkbounds__seed0000/sampler.log,needed-paper,evidence log for cited s6 run,include
Results/test_suite/s06__gw150914__imrphenomxphm__lvkbounds__seed0000/samples.csv,needed-paper,sample data for cited s6 run,include
Results/test_suite/s07__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds__seed0000/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_baseline.csv,needed-verification,s7 diagnostic data,archive-locally
Results/test_suite/s07__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds__seed0000/finish.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds__seed0000/sampler.log,needed-paper,evidence log for cited s7 run,include
Results/test_suite/s07__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds__seed0000/samples.csv,needed-paper,sample data for cited s7 run,include
Results/test_suite/s07__gw170817__imrphenompv2__baseline_lvkbounds__seed0000/PhaseMarg_Heterodyned_IMRPhenomPv2_local_psd-gwtc1_ref-gwtc1_baseline.csv,needed-verification,s7 diagnostic data,archive-locally
Results/test_suite/s07__gw170817__imrphenompv2__baseline_lvkbounds__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__imrphenompv2__baseline_lvkbounds__seed0000/finish.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__imrphenompv2__baseline_lvkbounds__seed0000/sampler.log,needed-paper,evidence log for cited s7 run,include
Results/test_suite/s07__gw170817__imrphenompv2__baseline_lvkbounds__seed0000/samples.csv,needed-paper,sample data for cited s7 run,include
Results/test_suite/s07__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds__seed0000/PhaseMarg_Heterodyned_IMRPhenomXAS_NRTidalv3_local_psd-gwtc1_ref-gwtc1_baseline.csv,needed-verification,s7 diagnostic data,archive-locally
Results/test_suite/s07__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds__seed0000/finish.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds__seed0000/sampler.log,needed-paper,evidence log for cited s7 run,include
Results/test_suite/s07__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds__seed0000/samples.csv,needed-paper,sample data for cited s7 run,include
Results/test_suite/s07__gw170817__taylorf2__baseline_lvkbounds__seed0000/PhaseMarg_Heterodyned_TaylorF2_local_psd-gwtc1_ref-gwtc1_baseline.csv,needed-verification,s7 diagnostic data,archive-locally
Results/test_suite/s07__gw170817__taylorf2__baseline_lvkbounds__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__taylorf2__baseline_lvkbounds__seed0000/finish.json,dead,cache/artifact,exclude
Results/test_suite/s07__gw170817__taylorf2__baseline_lvkbounds__seed0000/sampler.log,needed-paper,evidence log for cited s7 run,include
Results/test_suite/s07__gw170817__taylorf2__baseline_lvkbounds__seed0000/samples.csv,needed-paper,sample data for cited s7 run,include
Results/test_suite/s08__gw170817__imrphenomd_nrtidalv2__baseline__ndelete00500__seed0000/PhaseMarg_Heterodyned_IMRPhenomD_NRTidalv2_local_psd-gwtc1_ref-gwtc1_baseline.csv,needed-verification,s8 diagnostic data,archive-locally
Results/test_suite/s08__gw170817__imrphenomd_nrtidalv2__baseline__ndelete00500__seed0000/config.json,dead,cache/artifact,exclude
Results/test_suite/s08__gw170817__imrphenomd_nrtidalv2__baseline__ndelete00500__seed0000/finish.json,dead,cache/artifact,exclude
